0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
Acifolik;Acidum folicum;0,4 mg;tabletki;10274;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;B03BB01
Acifungin;Preparat złożony;-;roztwór na skórę;02389;2016-12-06;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";NAR;
Acifungin forte;Preparat złożony;-;roztwór na skórę;02390;2016-12-06;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";NAR;
Aciprex;Escitalopramum;5 mg;tabletki powlekane;16361;Bezterminowe;Biofarm Sp. z o.o.;DCP;N06AB10
Aciprex;Escitalopramum;10 mg;tabletki powlekane;16362;Bezterminowe;Biofarm Sp. z o.o.;DCP;N06AB10
Aciprex;Escitalopramum;20 mg;tabletki powlekane;16364;2016-02-15;Biofarm Sp. z o.o.;DCP;N06AB10
Acitren;Acitretinum;10 mg;kapsułki twarde;18728;Bezterminowe;Sun-Farm Sp. z o.o.;DCP;D05BB02
Acitren;Acitretinum;25 mg;kapsułki twarde;18729;Bezterminowe;Sun-Farm Sp. z o.o.;DCP;D05BB02
Acix 250;Aciclovirum;250 mg;proszek do sporządzania roztworu do infuzji;08680;Bezterminowe;Sandoz GmbH;NAR;J05AB01
Acix 500;Aciclovirum;500 mg;proszek do sporządzania roztworu do infuzji;08681;Bezterminowe;Sandoz GmbH;NAR;J05AB01
Aclasta;Acidum zoledronicum;5 mg/100 ml;roztwór do infuzji;;;Novartis Europharm Limited;CEN;M05BA08
Aclexa;Celecoxibum;100 mg;kapsułki twarde;21832;2019-04-27;Krka, d.d., Novo Mesto;DCP;M01AH01
Aclexa;Celecoxibum;200 mg;kapsułki twarde;21833;2019-04-27;Krka, d.d., Novo Mesto;DCP;M01AH01
Aclotin;Ticlopidini hydrochloridum;250 mg;tabletki powlekane;06671;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;B01AC05
Acnatac;Clindamycinum + Tretinoinum;(10 mg + 0,25 mg)/g;żel;21435;2018-09-11;Meda Pharma GmbH & Co. KG;DCP;D10AF51
Acne-Derm;Acidum azelaicum;200 mg/g;krem;08627;Bezterminowe;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";NAR;D10AX03
Acnelec;Adapalenum;1 mg/g;krem;21111;2018-04-10;PharmaSwiss Ceska Republika s.r.o.;NAR;D10AD03
Acnelec;Adapalenum;1 mg/g;żel;21112;2018-04-10;PharmaSwiss Ceska Republika s.r.o.;NAR;D10AD03
Acodin;Dextromethorphani hydrobromidum;15 mg;tabletki;04042;Bezterminowe;Sanofi-Aventis Sp. z o.o.;NAR;R05DA09
Acodin 150 Junior;Dexpanthenolum + Dextromethorphani hydrobromidum;(50 mg + 7,5 mg)/5 ml;syrop;00316;Bezterminowe;Sanofi-Aventis Sp. z o.o.;NAR;R05DA09
Acodin Duo;Dexpanthenolum + Dextromethorphani hydrobromidum;(50 mg + 15 mg)/5 ml;syrop;00317;Bezterminowe;Sanofi-Aventis Sp. z o.o.;NAR;R05DA09
Aconitum Napellus;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19324;Bezterminowe;Boiron SA;NAR;
Actaea Racemosa;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19280;Bezterminowe;Boiron SA;NAR;
Actarosin;Rosuvastatinum;5 mg;tabletki powlekane;20176;2017-05-23;Actavis Group PTC ehf.;DCP;C10AA07
Actarosin;Rosuvastatinum;10 mg;tabletki powlekane;20177;2017-05-23;Actavis Group PTC ehf.;DCP;C10AA07
Actarosin;Rosuvastatinum;20 mg;tabletki powlekane;20178;2017-05-23;Actavis Group PTC ehf.;DCP;C10AA07
Actarosin;Rosuvastatinum;40 mg;tabletki powlekane;20179;2017-05-23;Actavis Group PTC ehf.;DCP;C10AA07
Actaven;Isotretinoinum;10 mg;kapsułki miękkie;21632;Bezterminowe;Actavis Group PTC ehf.;DCP;D10BA01
Actaven;Isotretinoinum;20 mg;kapsułki miękkie;21633;Bezterminowe;Actavis Group PTC ehf.;DCP;D10BA01
Actelsar;Telmisartanum;40 mg;tabletki;18505;Bezterminowe;Actavis Group PTC ehf.;DCP;C09CA07
Actelsar;Telmisartanum;80 mg;tabletki;18506;Bezterminowe;Actavis Group PTC ehf.;DCP;C09CA07
Actelsar HCT;Telmisartanum + Hydrochlorothiazidum;80 mg + 25 mg;tabletki;;;Actavis Group PTC ehf.;CEN;C09DA07
Actelsar HCT;Telmisartanum + Hydrochlorothiazidum;80 mg + 12,5 mg;tabletki;;;Actavis Group PTC ehf.;CEN;C09DA07
Actelsar HCT;Telmisartanum + Hydrochlorothiazidum;40 mg + 12,5 mg;tabletki;;;Actavis Group PTC ehf.;CEN;C09DA07
Act-HiB;Vaccinum haemophili stirpe b coniugatum Szczepionka przeciw zakażeniom haemophilus typ b, skoniugowana;"10 mcg polisacharydu otoczkowego Haemophilus influenzae typ b skoniugowanego z 18-30 mcg toksoidu tężcowego/0,5 ml; 1 dawka (0,5 ml)";proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;03468;Bezterminowe;Sanofi Pasteur;NAR;J07AG
Actifed;Triprolidini hydrochloridum + Pseudoephedrini hydrochloridum + Dextromethorphani hydrobromidum;(1,25 mg + 30 mg + 10 mg)/5 ml;syrop;04862;Bezterminowe;McNeil Products Limited C/O Johnson & Johnson Limited;NAR;R01BA52
Actikerall;Fluorouracilum + Acidum salicylicum;(5 mg + 100 mg)/g;roztwór na skórę;20254;Bezterminowe;Almirall Hermal GmbH;DCP;L01BC
Actilyse 10;Alteplasum;10 mg;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;06884;Bezterminowe;Boehringer Ingelheim International GmbH;NAR;B01AD02
Actilyse 20;Alteplasum;20 mg;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;00314;Bezterminowe;Boehringer Ingelheim International GmbH;NAR;B01AD02
Actilyse 50;Alteplasum;50 mg;proszek i rozpuszczalnik do sporządzania roztworu do infuzji;00248;Bezterminowe;Boehringer Ingelheim International GmbH;NAR;B01AD02
Actisept;Povidonum iodinatum;100 mg/g;krem;08377;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;D08AG02
Actistav;Glucosamini hydrochloridum;1500 mg;tabletki musujące;12642;2015-07-21;Biofarm Sp. z o.o.;NAR;M01AX05
ACTI-trin;Triprolidini hydrochloridum + Pseudoephedrini hydrochloridum + Dextromethorphani hydrobromidum;(1,25 mg + 30 mg + 10 mg)/5 ml;syrop;10408;Bezterminowe;Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;NAR;R01BA52
Activelle;Estradiolum + Norethisteronum;1 mg + 0,5 mg;tabletki powlekane;04512;Bezterminowe;Novo Nordisk A/S;NAR;G03FA01
Actos;Pioglitazonum;15 mg;tabletki;;;Takeda Pharma A/S;CEN;A10BG03
Actos;Pioglitazonum;30 mg;tabletki;;;Takeda Pharma A/S;CEN;A10BG03
Actos;Pioglitazonum;45 mg;tabletki;;;Takeda Pharma A/S;CEN;A10BG03
Actraphane 30;Insulinum humanum;40 j.m./ml (1,4 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actraphane 30;Insulinum humanum;100 j.m./ml (3,5 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actraphane 30 FlexPen;Insulinum humanum;100 j.m./ml (3,5 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actraphane 30 InnoLet;Insulinum humanum;100 j.m./ml (3,5 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actraphane 30 Penfill;Insulinum humanum;100 j.m./ml (3,5 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actraphane 40 Penfill;Insulinum humanum;100 j.m./ml (3,5 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actraphane 50 Penfill;Insulinum humanum;100 j.m./ml (3,5 mg/ml);zawiesina do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actrapid;Insulinum humanum;40 j.m./ml (1,4 mg/ml);roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AB01
Actrapid;Insulinum humanum;100 j.m./ml (3,5 mg/ml);roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AB01
Actrapid FlexPen;Insulinum humanum;100 j.m./ ml (3,5 mg/ml);roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AB01
Actrapid Innolet;Insulinum humanum;100 j.m./ml  (3,5 mg/ml);roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AD01
Actrapid Penfill;Insulinum humanum;100 j.m./ml;roztwór do wstrzykiwań;;;Novo Nordisk A/S;CEN;A10AB01
Actusept;Benzydamini hydrochloridum;1,5 mg/ml;roztwór doustny;24047;2022-06-08;Dr. Max Pharma Limited;DCP;A01AD02
Acular;Ketorolacum;5 mg/ml;krople do oczu, roztwór;11327;Bezterminowe;Allergan Pharmaceuticals Ireland;NAR;S01BC05
Acurenal;Quinaprilum;5 mg;tabletki powlekane;11254;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;C09AA06
Acurenal;Quinaprilum;10 mg;tabletki powlekane;11255;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;C09AA06
Acurenal;Quinaprilum;20 mg;tabletki powlekane;11256;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;C09AA06
Acurenal;Quinaprilum;40 mg;tabletki powlekane;19824;Bezterminowe;PharmaSwiss Ceska Republika s.r.o.;NAR;C09AA06
Acutral;Tramadoli hydrochloridum + Paracetamolum;37,5 mg + 325 mg;tabletki powlekane;11190;2015-10-17;STADA Arzneimittel AG;NAR;N02AX52
Acuver;Betahistini dihydrochloridum;8 mg/dawkę odmierzoną;roztwór doustny;15533;Bezterminowe;Cyathus Exquirere Pharmaforschungs GmbH;DCP;N07CA01
Adacel;Szczepionka przeciw błonicy, tężcowi i krztuścowi (bezkomórkowa, złożona), adsorbowana, o zmniejszonej zawartości antygenów;-;zawiesina do wstrzykiwań;16803;2018-04-10;Sanofi Pasteur;MRP;J07AJ52
Adacel;Szczepionka przeciw błonicy, tężcowi i krztuścowi (bezkomórkowa, złożona), adsorbowana, o zmniejszonej zawartości antygenów;;zawiesina do wstrzykiwań w ampułko-strzykawce;23372;2021-08-18;Sanofi Pasteur;DCP;J07AJ52
Adadut;Dutasteridum;0,5 mg ;kapsułki miękkie;23969;2022-05-07;Adamed Sp. z o.o.;MRP;G04CB02
Adamon SR 100;Tramadoli hydrochloridum;100 mg;kapsułki o przedłużonym uwalnianiu;09361;Bezterminowe;Meda Pharma GmbH & Co. KG;NAR;N02AX02
Adamon SR 150;Tramadoli hydrochloridum;150 mg;kapsułki o przedłużonym uwalnianiu;09362;Bezterminowe;Meda Pharma GmbH & Co. KG;NAR;N02AX02
Adamon SR 200;Tramadoli hydrochloridum;200 mg;kapsułki o przedłużonym uwalnianiu;09363;Bezterminowe;Meda Pharma GmbH & Co. KG;NAR;N02AX02
Adamon SR 50;Tramadoli hydrochloridum;50 mg;kapsułki o przedłużonym uwalnianiu;09360;Bezterminowe;Meda Pharma GmbH & Co. KG;NAR;N02AX02
Adaring;Etonogestrelum + Ethinylestradiolum;(0,12 mg + 0,015 mg)/24 h ;system terapeutyczny dopochwowy;24067;2022-06-19;Adamed Sp. z o.o.;DCP;G02BB01
Adartrel;Ropinirolum;0,25 mg;tabletki powlekane;12423;Bezterminowe;GlaxoSmithKline Export Ltd;MRP;N04BC04
Adartrel;Ropinirolum;0,5 mg;tabletki powlekane;12424;Bezterminowe;GlaxoSmithKline Export Ltd;MRP;N04BC04
Adartrel;Ropinirolum;2 mg;tabletki powlekane;12426;Bezterminowe;GlaxoSmithKline Export Ltd;MRP;N04BC04
Adaster;Finasteridum;5 mg;tabletki powlekane;15587;2018-08-05;Adamed Sp. z o.o.;DCP;G04CB01
Adaster;Finasteridum;5 mg;tabletki powlekane;284/17;2022-08-31;InPharm Sp. z o.o.;IR;G04CB01
Adasuve;Loxapinum;4,5 mg;proszek do inhalacji, podzielony;;;Ferrer Internacional, S.A.;CEN;N05AH01
Adasuve;Loxapinum;9,1 mg;proszek do inhalacji, podzielony;;;Ferrer Internacional, S.A.;CEN;N05AH01
Adatam;Tamsulosini hydrochloridum;0,4 mg;kapsułki o zmodyfikowanym uwalnianiu, twarde;12477;Bezterminowe;Adamed Sp. z o.o.;MRP;G04CA02
Adavin;Nicergolinum;10 mg;tabletki drażowane;01724;Bezterminowe;Sandoz GmbH;NAR;C04AE02
Adcetris;Brentuximabum vedotinum;50 mg;proszek do sporządzania koncentratu roztworu do infuzji;;;Takeda Pharma A/S;CEN;L01XC12
Adcirca;Tadalafilum;20 mg;tabletki powlekane;;;Eli Lilly Nederland B.V.;CEN;G04BE08
Addamel N;Roztwór pierwiastków śladowych;;koncentrat do sporządzania roztworu do infuzji;02718;Bezterminowe;Fresenius Kabi AB;NAR;B05XA31
Addamel N;Roztwór pierwiastków śladowych;-;koncentrat do sporządzania roztworu do infuzji;27/16;2021-01-19;Delfarma Sp. z o.o.;IR;B05XA31
Addiphos;Kalii dihydrogenophosphas + Natrii hydrogenophosphas + Kalii hydroxidum;(170,1 mg + 133,5 mg + 14 mg)/ml;koncentrat do sporządzania roztworu do infuzji;02717;Bezterminowe;Fresenius Kabi AB;NAR;B05XA
Addiphos;Kalii dihydrogenophosphas + Dinatrii phosphas dihydricus + Kalii hydroxidum;(170,1 mg + 133,5 mg + 14 mg)/ml;koncentrat do sporządzania roztworu do infuzji;201/15;2020-04-20;Delfarma Sp. z o.o.;IR;B05XA
Adeksa;Acarbosum;50 mg;tabletki;18537;Bezterminowe;Polfarmex S.A.;NAR;A10BF01
Adeksa;Acarbosum;100 mg;tabletki;18538;Bezterminowe;Polfarmex S.A.;NAR;A10BF01
Adempas;Riociguatum;0,5 mg;tabletki powlekane;;;Bayer Pharma AG;CEN;C02KX05
Adempas;Riociguatum;1 mg;tabletki powlekane;;;Bayer Pharma AG;CEN;C02KX05
Adempas;Riociguatum;1,5 mg;tabletki powlekane;;;Bayer Pharma AG;CEN;C02KX05
Adempas;Riociguatum;2 mg;tabletki powlekane;;;Bayer Pharma AG;CEN;C02KX05
Adempas;Riociguatum;2,5 mg;tabletki powlekane;;;Bayer Pharma AG;CEN;C02KX05
Adenocor;Adenosinum;3 mg/ml;roztwór do wstrzykiwań;03747;Bezterminowe;Sanofi-Aventis France;NAR;C01EB10
Adenocor;Adenosinum;3 mg/ml;roztwór do wstrzykiwań;714/12;2017-11-20;InPharm Sp. z o.o.;IR;C01EB10
Adenocor;Adenosinum;3 mg/ml;roztwór do wstrzykiwań;767/12;2022-11-23;Delfarma Sp. z o.o.;IR;C01EB10
Adenocor;Adenosinum;3 mg/ml;roztwór do wstrzykiwań;371/15;2020-06-24;Delfarma Sp. z o.o.;IR;C01EB10
Adenocor;Adenosinum;3 mg/ml;roztwór do wstrzykiwań;287/16;2021-05-30;Delfarma Sp. z o.o.;IR;C01EB10
Adenosine Kabi;Adenosinum;3 mg/ml;roztwór do wstrzykiwań w ampułko-strzykawce;22867;2020-12-10;Fresenius Kabi Polska Sp. z o.o.;DCP;C01EB10
Adenuric;Febuxostatum;80 mg;tabletki powlekane;;;Menarini International Operations Luxembourg S.A.;CEN;M04AA04
Adenuric;Febuxostatum;120 mg;tabletki powlekane;;;Menarini International Operations Luxembourg S.A.;CEN;M04AA04
Adepend;Naltrexoni hydrochloridum;50 mg;tabletki powlekane;17607;Bezterminowe;Orpha-Devel Handels und Vertriebs GmbH;MRP;N07BB04
Adin;Desmopressinum;60 mcg;liofilizat doustny;22649;2020-08-19;Ferring Lečiva a.s.;NAR;H01BA02
Adin;Desmopressinum;120 mcg;liofilizat doustny;22650;2020-08-19;Ferring Lečiva a.s.;NAR;H01BA02
Adin;Desmopressinum;240 mcg;liofilizat doustny;22651;2020-08-19;Ferring Lečiva a.s.;NAR;H01BA02
Adipine;Amlodipinum;10 mg;tabletki;14517;Bezterminowe;PharmaSwiss Česká republika s.r.o.;MRP;C08CA01
Adipine;Amlodipinum;5 mg;tabletki;14516;Bezterminowe;PharmaSwiss Česká republika s.r.o.;MRP;C08CA01
Adjupanrix;Prepandemiczna szczepionka przeciw grypie (H5N1) (rozszczepiony wirion) inaktywowana, z adiuwantem;3,75 mcg HA;zawiesina i emulsja do sporządzania emulsji do wstrzykiwań;;;GlaxoSmithKline Biologicals S.A.;CEN;J07BB02
Adrenalina Aguettant;Adrenalinum;1 mg/10 ml;roztwór do wstrzykiwań w ampułko-strzykawce;23296;2021-06-30;Laboratoire Aguettant;DCP;C01CA24
Adrenalina WZF;Adrenalinum;300 mcg/0,3 ml;roztwór do wstrzykiwań;10697;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;C01CA24
Adrenalina WZF 0,1%;Adrenalinum;1 mg/ml;roztwór do wstrzykiwań;01825;Bezterminowe;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;NAR;C01CA24
Adriblastina PFS;Doxorubicini hydrochloridum;2 mg/ml;roztwór do wstrzykiwań;04710;Bezterminowe;Pfizer Europe MA EEIG;NAR;L01DB01
Adriblastina R.D.;Doxorubicini hydrochloridum;50 mg;proszek do sporządzania roztworu do wstrzykiwań;02357;2017-01-13;Pfizer Europe MA EEIG;NAR;L01DB01
Adriblastina R.D.;Doxorubicini hydrochloridum;10 mg;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;02356;2017-01-13;Pfizer Europe MA EEIG;NAR;L01DB01
Adrovance;Acidum alendronicum + Cholecalciferolum;70 mg + 2800 j.m.;tabletki;;;Merck Sharp & Dohme Ltd.;CEN;M05BB03
Adrovance;Acidum alendronicum + Cholecalciferolum;70 mg + 5600 j.m.;tabletki;;;Merck Sharp & Dohme Ltd.;CEN;M05BB03
Advagraf;Tacrolimusum;0,5 mg;kapsułki o przedłużonym uwalnianiu, twarde;;;Astellas Pharma Europe BV;CEN;L04AD02
Advagraf;Tacrolimusum;1 mg;kapsułki o przedłużonym uwalnianiu, twarde;;;Astellas Pharma Europe BV;CEN;L04AD02
Advagraf;Tacrolimusum;5 mg;kapsułki o przedłużonym uwalnianiu, twarde;;;Astellas Pharma Europe BV;CEN;L04AD02
Advagraf;Tacrolimusum;3 mg;kapsułki o przedłużonym uwalnianiu, twarde;;;Astellas Pharma Europe BV;CEN;L04AD02
Advantan;Methylprednisoloni aceponas;1 mg/g;emulsja na skórę;07180;Bezterminowe;Bayer Sp. z o.o.;NAR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;emulsja na skórę;549/11;2016-11-15;Recipio Sp. z o. o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;emulsja na skórę;554/11;2016-11-17;InPharm Sp. z o.o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;emulsja na skórę;574/11;2016-11-21;Delfarma Sp. z o.o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;krem;07179;Bezterminowe;Bayer Sp. z o.o.;NAR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;krem;200/11;2021-06-08;Forfarm Sp. z o.o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;krem;218/11;2016-06-28;Blau Farma Group Sp. z o.o. - S.K.A.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;krem;551/11;2016-11-15;Recipio Sp. z o. o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;krem;115/12;2017-03-04;Avrentim Sp. z o.o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;krem;316/15;2020-06-09;InPharm Sp. z o.o.;IR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;maść;07181;Bezterminowe;Bayer Sp. z o.o.;NAR;D07AC14
Advantan;Methylprednisoloni aceponas;1 mg/g;maść;639/11;2016-12-13;Forfarm Sp. z o.o.;IR;D07AC14
Advate;Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany ;250 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxter AG;CEN;B02BD02
Advate;Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany ;500 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxter AG;CEN;B02BD02
Advate;Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany ;1000 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxter AG;CEN;B02BD02
Advate;Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany ;1500 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxter AG;CEN;B02BD02
Advate;Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany ;2000 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxter AG;CEN;B02BD02
Advate;Octocogum alfa. Czynnik VIII krzepnięcia krwi ludzki rekombinowany ;3000 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxter AG;CEN;B02BD02
Advil Zatoki;Ibuprofenum + Pseudoephedrini hydrochloridum;200 mg + 30 mg;tabletka powlekana;22369;2020-04-06;Pfizer Corporation Austria GmbH Consumer Healthcare;MRP;"M01AE51;R01BA52"
ADYNOVI;Rurioctocog alfa pegol;250 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxalta Innovations GmbH;CEN;B02BD02
ADYNOVI;Rurioctocog alfa pegol;500 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxalta Innovations GmbH;CEN;B02BD02
ADYNOVI;Rurioctocog alfa pegol;2000 j.m.;proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;;Baxalta Innovations GmbH;CEN;B02BD02
ADYNOVI;Rurioctocog alfa pegol;1000 j.m.;proszek i roztwór do sporządzania roztworu do wstrzykiwań;;;Baxalta Innovations GmbH;CEN;B02BD02
Aerinaze;Desloratadinum + Pseudoephedrini sulfas;2,5 mg + 120 mg;tabletki o zmodyfikowanym uwalnianiu;;;Merck Sharp & Dohme Ltd.;CEN;R01BA52
Aerius;Desloratadinum;0,5 mg/ml;roztwór doustny;;;Merck Sharp & Dohme Ltd.;CEN;R06AX27
Aerius;Desloratadinum;2,5 mg;tabletka ulegająca rozpadowi w jamie ustnej;;;Merck Sharp & Dohme Ltd.;CEN;R06AX27
Aerius;Desloratadinum;5 mg;tabletka ulegająca rozpadowi w jamie ustnej;;;Merck Sharp & Dohme Ltd.;CEN;R06AX27
Aerius;Desloratadinum;5 mg;tabletki powlekane;;;Merck Sharp & Dohme Ltd.;CEN;R06AX27
Aerivio Spiromax;Salmeterolum + Fluticasoni propionas;50 mcg + 500 mcg;proszek do inhalacji;;;Teva B.V.;CEN;R03AK06
Aero-OM;Simeticonum;42 mg;tabletki do rozgryzania i żucia;15941;2015-12-17;OM Pharma S.A.;MRP;A03AX13
Aerrane;Isofluranum;100%;płyn do anestezji wziewnej;09616;Bezterminowe;Baxter Polska Sp. z o.o.;NAR;N01AB06
Aescin;Escinum;20 mg;tabletki dojelitowe;929/12;2022-12-31;Delfarma Sp. z o.o.;IR;C05CX
Aescin;Escinum;20 mg;tabletki dojelitowe;415/15;2020-07-09;InPharm Sp. z o.o.;IR;C05CX
Aescin;Escinum;20 mg;tabletki dojelitowe;578/15;2020-08-24;IVA PHARM Sp. z o.o.;IR;C05CX
Aescin;Escinum;20 mg;tabletki dojelitowe;611/15;2020-09-02;Forfarm Sp. z o.o.;IR;C05CX
Aescin;Escinum;20 mg;tabletki dojelitowe;589/15;2020-08-30;Pretium Farm Sp. z o.o.;IR;C05CX
Aescin;Escinum;20 mg;tabletki powlekane;02021;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;C05CX
Aescin;Escinum + Diethylamini salicylas + Heparinum;(20 mg + 50 mg + 50 j.m.)/g;żel;01260;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;C05CX
Aesciner Retard;Hippocastani seminis extractum siccum;50 mg glikozydów trójterpenowych w przeliczeniu na bezwodną escynę/ kapsułkę;kapsułki o przedłużonym uwalnianiu, twarde;04327;Bezterminowe;Genexo Sp. z o.o.;NAR;C05CX03
Aesculan;Hippocastani corticis extractum siccum + Lidocaini hydrochloridum;(62,5 mg + 5 mg)/g;maść doodbytnicza;00281;Bezterminowe;"Poznańskie Zakłady Zielarskie ""Herbapol"" S.A.";NAR;
Aesculus comp. N;Preparat homeopatyczny;-;krople doustne, roztwór;16701;2015-04-11;Heel Polska Sp. z o.o.;NAR;
Aesculus Hippocastanum;Homeopatyczny produkt leczniczy;2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";19244;Bezterminowe;Boiron SA;NAR;
Aescuven Forte;Hippocastani seminis extractum siccum;30 mg glikozydów triterpenowych w przeliczeniu na bezwodną escynę/tabletkę;tabletki powlekane;00279;2015-11-13;Cesra  Arzneimittel GmbH & Co. KG;NAR;C05CX03
Aethoxysklerol 0,5%;Lauromacrogolum 400;5 mg/ml;roztwór do wstrzykiwań;09304;Bezterminowe;Chemische Fabrik Kreussler Co.GmbH;NAR;C05BB02
Aethoxysklerol 1%;Lauromacrogolum 400;10 mg/ml;roztwór do wstrzykiwań;09305;Bezterminowe;Chemische Fabrik Kreussler Co.GmbH;NAR;C05BB02
Aethoxysklerol 1% F;Lauromacrogolum 400;10 mg/ml;roztwór do wstrzykiwań;19127;Bezterminowe;Chemische Fabrik Kreussler Co.GmbH;NAR;C05BB02
Aethoxysklerol 2%;Lauromacrogolum 400;20 mg/ml;roztwór do wstrzykiwań;09306;Bezterminowe;Chemische Fabrik Kreussler Co.GmbH;NAR;C05BB02
Aethoxysklerol 3%;Lauromacrogolum 400;30 mg/ml;roztwór do wstrzykiwań;09307;Bezterminowe;Chemische Fabrik Kreussler Co.GmbH;NAR;C05BB02
Aethylum chloratum Filofarm;Ethylis chloridum;70 g;aerozol;02106;Bezterminowe;Farmaceutyczna Spółdzielnia Pracy FILOFARM;NAR;N01BX01
Afastural;Fosfomycinum;3 g;granulat do sporządzania roztworu doustnego;21489;2018-09-29;Exeltis Poland Sp. z o.o.;DCP;J01XX01
Afenix;Solifenacini succinas;10 mg;tabletki powlekane;24327;2022-10-13;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;G04BD08
Afenix;Solifenacini succinas;5 mg;tabletki powlekane;24326;2022-10-13;Zakłady Farmaceutyczne POLPHARMA S.A.;NAR;G04BD08
Afinitor;Everolimusum;5 mg;tabletki;;;Novartis Europharm Limited;CEN;L01XE10
Afinitor;Everolimusum;10 mg;tabletki;;;Novartis Europharm Limited;CEN;L01XE10
